Metric,Value
route__drc_errors__iter:2,19
route__wirelength__iter:2,2173179
route__drc_errors__iter:3,10
route__wirelength__iter:3,2173162
route__drc_errors__iter:4,1
route__wirelength__iter:4,2173276
route__drc_errors__iter:5,1
route__wirelength__iter:5,2173278
route__drc_errors__iter:6,1
route__wirelength__iter:6,2173287
route__drc_errors__iter:7,1
route__wirelength__iter:7,2173287
route__drc_errors__iter:8,0
route__wirelength__iter:8,2173291
route__drc_errors,0
route__wirelength,2173291
route__vias,2064
route__vias__singlecut,2064
route__vias__multicut,0
design__disconnected_pin__count,270
design__critical_disconnected_pin__count,0
route__wirelength__max,7385.44
timing__unannotated_net__count__corner:nom_tt_025C_1v80,256
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,256
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,256
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,256
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,256
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,256
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,256
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,256
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,256
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,256
timing__unannotated_net_filtered__count,0
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
